,0
PageValues,0.35454746905231815
ExitRates,0.08822107510686822
ProductRelated_Duration,0.08626557336896588
ProductRelated,0.07513636522389021
Administrative_Duration,0.059184700003841184
BounceRates,0.05307044802600092
Administrative,0.04137072302786115
TrafficType,0.03420258560557073
Region,0.03242160646164834
Informational_Duration,0.02502108212163602
Month_Nov,0.023156416139949704
Browser,0.02021576521131498
OperatingSystems,0.018962711993673526
Informational,0.018354044447674488
Weekend,0.011129618163688605
VisitorType_Returning_Visitor,0.009989912800499887
VisitorType_New_Visitor,0.008868805318344032
Month_May,0.0066955795050943736
Month_Dec,0.006204656698832283
Month_Mar,0.0057556237788923955
Month_Sep,0.003803030928980504
Month_Oct,0.0038001991711984063
Month_Jul,0.0037605953480066017
Month_Aug,0.00363976553831149
SpecialDay,0.0033271210032745535
Month_June,0.002095119961793106
VisitorType_Other,0.0006866286312913976
Month_Feb,0.00011277736057882581
